business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,split_categories,primary_category
W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,201 Royal St,New Orleans,LA,70130,29.9543868,-90.0683629,4.0,2064,1,"{'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'full_bar'"", 'GoodForKids': 'False', 'RestaurantsPriceRange2': '3', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsTableService': 'True', 'DogsAllowed': 'False', 'DriveThru': 'False', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'WheelchairAccessible': 'True', 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}"", 'CoatCheck': 'False', 'Caters': 'False', 'BusinessParking': ""{u'valet': True, u'garage': True, u'street': False, u'lot': False, u'validated': False}"", 'Smoking': ""u'no'"", 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'HappyHour': 'True'}","Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife","{'Wednesday': '11:30-20:0', 'Thursday': '11:30-20:0', 'Friday': '11:30-20:0', 'Saturday': '11:30-20:0', 'Sunday': '11:30-20:0'}","['Bars', ' Breakfast & Brunch', ' Restaurants', ' Barbeque', ' Cajun/Creole', ' Cafes', ' Cocktail Bars', ' Nightlife']",Bars
8uF-bhJFgT4Tn6DTb27viA,District Donuts Sliders Brew,2209 Magazine St,New Orleans,LA,70130,29.9294259,-90.0770687,4.5,2062,1,"{'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'WheelchairAccessible': 'True', 'HappyHour': 'True', 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Caters': 'True', 'Alcohol': ""u'beer_and_wine'"", 'DogsAllowed': 'False', 'DriveThru': 'None', 'RestaurantsTableService': 'False', 'OutdoorSeating': 'True'}","Food, Donuts, Burgers, American (Traditional), Coffee & Tea, Restaurants","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}","['Food', ' Donuts', ' Burgers', ' American (Traditional)', ' Coffee & Tea', ' Restaurants']",Food
pym7c6ZFEtmoH16xN2ApBg,Katie's Restaurant & Bar,3701 Iberville St,New Orleans,LA,70119,29.9730943,-90.0959144,4.5,1289,1,"{'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'WiFi': ""u'no'"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'Caters': 'True', 'Smoking': ""u'outdoor'"", 'RestaurantsTableService': 'True', 'CoatCheck': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'HappyHour': 'True', 'RestaurantsReservations': 'True', 'GoodForDancing': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'Music': ""{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForMeal': ""{u'breakfast': False, u'brunch': True, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': None}""}","Restaurants, Bars, Nightlife, American (Traditional), Cajun/Creole, Seafood","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '9:0-15:0'}","['Restaurants', ' Bars', ' Nightlife', ' American (Traditional)', ' Cajun/Creole', ' Seafood']",Restaurants
SJIQFKTW6uUsOo29w9IHxw,Mambo's,411 Bourbon St,New Orleans,LA,70130,29.9566684,-90.0676513,4.0,1223,1,"{'Corkage': 'False', 'GoodForKids': 'True', 'Caters': 'True', 'BYOB': 'False', 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': False, u'lot': None, u'validated': False}"", 'GoodForMeal': ""{u'breakfast': None, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': True, u'dessert': None}"", 'DogsAllowed': 'False', 'HappyHour': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'True'}","Cocktail Bars, Soul Food, Nightlife, Food, Desserts, Bars, Seafood, Cajun/Creole, Restaurants","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-1:0'}","['Cocktail Bars', ' Soul Food', ' Nightlife', ' Food', ' Desserts', ' Bars', ' Seafood', ' Cajun/Creole', ' Restaurants']",Cocktail Bars
JvawJ9bSr22xn4R9oLvl_w,Desire Oyster Bar,300 Bourbon St,New Orleans,LA,70130,29.9555269925,-90.0681538393,4.0,1084,1,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'False', 'WiFi': ""u'free'"", 'Caters': 'False', 'RestaurantsDelivery': 'False', 'BYOB': 'False', 'Corkage': 'True', 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}""}","Southern, Event Planning & Services, Restaurants, Cajun/Creole, Seafood, Live/Raw Food, Hotels & Travel, Hotels","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-21:0'}","['Southern', ' Event Planning & Services', ' Restaurants', ' Cajun/Creole', ' Seafood', ' Live/Raw Food', ' Hotels & Travel', ' Hotels']",Southern
jMZ56S8Y1t7cA1Ob-d-qeA,Three Muses,536 Frenchmen St,New Orleans,LA,70116,29.9632273,-90.0579277,4.0,1165,1,"{'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'full_bar'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'GoodForDancing': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForKids': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'DogsAllowed': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'None', 'RestaurantsTakeOut': 'True'}","Nightlife, Jazz & Blues, American (New), Music Venues, Restaurants, Gastropubs, Arts & Entertainment","{'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-22:0'}","['Nightlife', ' Jazz & Blues', ' American (New)', ' Music Venues', ' Restaurants', ' Gastropubs', ' Arts & Entertainment']",Nightlife
GBTPC53ZrG1ZBY3DT8Mbcw,Luke,333 Saint Charles Ave,New Orleans,LA,70130,29.9507416316,-90.0704155423,4.0,4554,1,"{'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'average'"", 'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'ByAppointmentOnly': 'False', 'Smoking': ""u'no'"", 'DogsAllowed': 'False', 'CoatCheck': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'None', 'WheelchairAccessible': 'True', 'BikeParking': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForDancing': 'False'}","German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-21:0'}","['German', ' Restaurants', ' Seafood', ' Cocktail Bars', ' French', ' Brasseries', ' American (New)', ' Nightlife', ' Bars', ' Cajun/Creole', ' Breakfast & Brunch']",German
g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,307 Chartres St,New Orleans,LA,70116,29.9544944572,-90.0665915385,4.0,1865,1,"{'RestaurantsReservations': 'False', 'Alcohol': ""'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'Caters': 'False', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'None', 'DogsAllowed': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'WiFi': ""u'free'"", 'HappyHour': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'None', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': True, u'validated': False}""}","Breakfast & Brunch, Coffee & Tea, Food, Restaurants","{'Monday': '7:0-13:0', 'Tuesday': '7:0-13:0', 'Wednesday': '7:0-13:0', 'Thursday': '7:0-13:0', 'Friday': '7:0-13:0', 'Saturday': '7:0-14:0', 'Sunday': '7:0-14:0'}","['Breakfast & Brunch', ' Coffee & Tea', ' Food', ' Restaurants']",Breakfast & Brunch
I6L0Zxi5Ww0zEWSAVgngeQ,Cafe Beignet on Bourbon Street,311 Bourbon St,New Orleans,LA,70130,29.955845,-90.0684361,3.5,1066,1,"{'GoodForKids': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""'casual'"", 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'HappyHour': 'True', 'BikeParking': 'False', 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': None, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'DogsAllowed': 'True', 'NoiseLevel': ""u'loud'""}","Sandwiches, Breakfast & Brunch, Cajun/Creole, Cafes, Food, Restaurants, Donuts","{'Monday': '0:0-0:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}","['Sandwiches', ' Breakfast & Brunch', ' Cajun/Creole', ' Cafes', ' Food', ' Restaurants', ' Donuts']",Sandwiches
vN6v8m4DO45Z4pp8yxxF_w,Surrey's Café & Juice Bar,1418 Magazine St,New Orleans,LA,70130,29.935799,-90.071906,4.5,2084,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'no'"", 'BYOBCorkage': ""'yes_free'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'Corkage': 'False', 'Caters': 'False', 'Alcohol': ""'none'"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'ByAppointmentOnly': 'False', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'None', 'DogsAllowed': 'False', 'RestaurantsDelivery': 'None', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'BikeParking': 'False', 'HappyHour': 'False'}","Vegetarian, Restaurants, Breakfast & Brunch, Cafes, Juice Bars & Smoothies, Sandwiches, Food","{'Monday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}","['Vegetarian', ' Restaurants', ' Breakfast & Brunch', ' Cafes', ' Juice Bars & Smoothies', ' Sandwiches', ' Food']",Vegetarian
